Category,PalID,Link,SourceID,BranchID,DateObserved,CurrentStatus,CurrentPrice,PreviousStatus,PreviousPrice,PreviousDate,UDPRN,UMRRN,UPRN,Abode,HouseName,HouseNum,Street1,Street2,Sublocality,Locality,Town,Postcode,DeliveryPointSuffix
Withdrawn,173073,https://www.rightmove.co.uk/property-for-sale/property-85507603.html,R85507603,R108938,03/11/2021 00:00:00,,,,475000,23/10/2021 00:00:00,7912883,52021069,10008346976,FLAT 2,,82,NIGHTINGALE ROAD,,,,LONDON,E5 8NB,1W
Withdrawn,179385,https://www.rightmove.co.uk/property-for-sale/property-90877825.html,R90877825,R113191,03/11/2021 00:00:00,,,,315000,26/10/2021 00:00:00,7966330,50031208,100021021405,FLAT 2,,2,ABERSHAM ROAD,,,,LONDON,E8 2LN,1P
Withdrawn,179435,https://www.rightmove.co.uk/property-for-sale/property-108156761.html,R108156761,R71364,03/11/2021 00:00:00,,,,575000,20/10/2021 00:00:00,7966701,53738500,10008267389,FIRST FLOOR FLAT,,47,DALSTON LANE,,,,LONDON,E8 2NG,1D
Withdrawn,195873,https://www.rightmove.co.uk/property-for-sale/property-77469279.html,R77469279,R73120,03/11/2021 00:00:00,,,,1200000,22/10/2021 00:00:00,8166977,50035614,95502556,FLAT 10,,11-12,WEST SMITHFIELD,,,,LONDON,EC1A 9JR,2R
Withdrawn,324230,https://www.rightmove.co.uk/property-for-sale/property-111896921.html,R111896921,R66950,03/11/2021 00:00:00,,,,650000,27/10/2021 00:00:00,15442597,51252703,5300077923,FLAT D,,109,RICHMOND AVENUE,,,,LONDON,N1 0LR,1P
Withdrawn,324872,https://www.rightmove.co.uk/property-for-sale/property-114322646.html,R114322646,R66950,03/11/2021 00:00:00,,,,499950,25/10/2021 00:00:00,15445094,50213028,5300090559,,,11C,THORNHILL SQUARE,,,,LONDON,N1 1BQ,1D
Withdrawn,327911,https://www.rightmove.co.uk/property-for-sale/property-110720579.html,R110720579,R4370,03/11/2021 00:00:00,,,,350000,27/10/2021 00:00:00,15454522,15454524,5300080510,FLAT 3,,94,ROTHERFIELD STREET,,,,LONDON,N1 3BY,1Q
Withdrawn,351687,https://www.rightmove.co.uk/property-for-sale/property-89179966.html,R89179966,R18933,03/11/2021 00:00:00,,,,600000,23/10/2021 00:00:00,15539765,50172662,5300070883,FLAT B,,8,PAKEMAN STREET,,,,LONDON,N7 6QN,1S
Withdrawn,353887,https://www.rightmove.co.uk/property-for-sale/property-100023902.html,R100023902,R15954,03/11/2021 00:00:00,,,,425000,26/10/2021 00:00:00,28736346,28736349,10012790879,FLAT 3,,96-98,MACKENZIE ROAD,,,,LONDON,N7 8RE,1T
Withdrawn,374035,https://www.rightmove.co.uk/property-for-sale/property-113181176.html,R113181176,R44786,03/11/2021 00:00:00,,,,365000,26/10/2021 00:00:00,15664960,50401029,10008335740,FLAT 6,,70,ALKHAM ROAD,,,,LONDON,N16 6XF,1L
Withdrawn,417435,https://www.rightmove.co.uk/property-for-sale/property-114866753.html,R114866753,R37655,03/11/2021 00:00:00,,,,425000,21/10/2021 00:00:00,17640391,50137860,5036484,,,69C,ALBANY STREET,,,,LONDON,NW1 4BT,1J
Withdrawn,424492,https://www.rightmove.co.uk/property-for-sale/property-80157690.html,R80157690,R228371,03/11/2021 00:00:00,,,,1000000,22/10/2021 00:00:00,17664959,53805964,5039284,,,24B,FORDWYCH ROAD,,,,LONDON,NW2 3TG,1E
Withdrawn,437282,https://www.rightmove.co.uk/property-for-sale/property-109210841.html,R109210841,R72719,03/11/2021 00:00:00,,,,1450000,26/10/2021 00:00:00,17692876,50178576,5098082,FLAT 2,,26,COLLEGE CRESCENT,,,,LONDON,NW3 5LH,1B
Withdrawn,439978,https://www.rightmove.co.uk/property-for-sale/property-113082335.html,R113082335,R91636,03/11/2021 00:00:00,,,,1700000,20/10/2021 00:00:00,17697755,50243419,5076976,FLAT A,,33,REDINGTON ROAD,,,,LONDON,NW3 7QY,1D
Withdrawn,441739,https://www.rightmove.co.uk/property-for-sale/property-113852780.html,R113852780,R35298,03/11/2021 00:00:00,,,,699995,23/10/2021 00:00:00,17711437,52128612,5094099,FLAT B,,111,CHETWYND ROAD,,,,LONDON,NW5 1DA,1G
Withdrawn,447939,https://www.rightmove.co.uk/property-for-sale/property-105161576.html,R105161576,R72716,03/11/2021 00:00:00,,,,1000000,22/10/2021 00:00:00,17726196,17726217,5062569,FLAT 9,SANDWELL MANSIONS,,WEST END LANE,,,,LONDON,NW6 1XL,1A
Withdrawn,460597,https://www.rightmove.co.uk/property-for-sale/property-80503128.html,R80503128,R15960,03/11/2021 00:00:00,,,,1350000,26/10/2021 00:00:00,17762638,51319092,100022793221,FLAT 1,,75,PRINCE ALBERT ROAD,,,,LONDON,NW8 7SA,1A
Withdrawn,528253,https://www.rightmove.co.uk/property-for-sale/property-79768883.html,R79768883,R14278,03/11/2021 00:00:00,,,,399950,23/10/2021 00:00:00,21482489,21482493,,FLAT 8,AVENUE MANSIONS,13-14,BLACKHEATH GROVE,,,,LONDON,SE3 0DQ,1B
Withdrawn,540111,https://www.rightmove.co.uk/property-for-sale/property-112191839.html,R112191839,R66897,03/11/2021 00:00:00,,,,300000,21/10/2021 00:00:00,21634974,53113251,100021946877,FIRST FLOOR FLAT,,152,COURTHILL ROAD,,,,LONDON,SE13 6DR,3Z
Withdrawn,578736,https://www.rightmove.co.uk/property-for-sale/property-108171572.html,R108171572,R85457,03/11/2021 00:00:00,,,,820000,21/10/2021 00:00:00,23758752,50079849,10033620965,FLAT 7,,98,BELGRAVE ROAD,,,,LONDON,SW1V 2BJ,2S
Withdrawn,579541,https://www.rightmove.co.uk/property-for-sale/property-103840442.html,R103840442,R84889,03/11/2021 00:00:00,,,,595000,21/10/2021 00:00:00,23760214,50080004,100022782004,FIRST FLOOR,,14,MORETON PLACE,,,,LONDON,SW1V 2NP,1D
Withdrawn,582430,https://www.rightmove.co.uk/property-for-sale/property-72081537.html,R72081537,R44264,03/11/2021 00:00:00,,,,1325000,20/10/2021 00:00:00,23773306,50081727,217068554,FLAT 3,,31,PONT STREET,,,,LONDON,SW1X 0BB,1A
Withdrawn,591289,https://www.rightmove.co.uk/property-for-sale/property-112576772.html,R112576772,R15966,03/11/2021 00:00:00,,,,725000,26/10/2021 00:00:00,23813963,23813964,100023362266,,,2C,LISTON ROAD,,,,LONDON,SW4 0DF,1U
